filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_854_ch_2501_strand.fast5	205ceeb3-af2a-4408-aab0-218cdc585dfa	f92717327e20661b488f6bebe7463e7dfa7490be	2501	1688.414	4.37475	3442	True	0.07225	3442	4.3025	3442	2478	10.303	-0.0007
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_15627_ch_762_strand.fast5	232265f6-d542-4f9d-94a1-04bb8e18fc27	f92717327e20661b488f6bebe7463e7dfa7490be	762	1761.8825	2.384	1896	True	0.013	1896	2.371	1896	1423	10.068	-0.001
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1134_ch_946_strand.fast5	361647dc-490c-44a9-b90f-b5a6cae82957	f92717327e20661b488f6bebe7463e7dfa7490be	946	1770.72825	1.6165	1238	True	0.06875	1238	1.54775	1238	944	10.445	-0.0012
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1225_ch_1223_strand.fast5	37da211d-6314-4dba-a6a2-7cad6aa2040b	f92717327e20661b488f6bebe7463e7dfa7490be	1223	1728.57275	2.8865	2218	True	0.1135	2218	2.773	2218	1625	11.815	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_960_ch_624_strand.fast5	42d1fece-b663-4c30-9857-3e0b7069c854	f92717327e20661b488f6bebe7463e7dfa7490be	624	1737.1315	5.041	4032	True	0.0	4032	5.041	4032	2847	10.695	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_823_ch_589_strand.fast5	801423bd-f95a-4b3e-9082-ac153d552338	f92717327e20661b488f6bebe7463e7dfa7490be	589	1753.9605	4.90475	3923	False	0.0	3923	4.90475	3923	104	3.15	-0.0009
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_2086_ch_148_strand.fast5	914c8b1e-847d-4626-9e20-06b01c75ab89	f92717327e20661b488f6bebe7463e7dfa7490be	148	1743.8425	1.0195	755	True	0.07575	755	0.94375	755	554	11.533	-0.0026
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_913_ch_2329_strand.fast5	af4faa97-94f0-41a6-8847-ca1a624b4849	f92717327e20661b488f6bebe7463e7dfa7490be	2329	1690.73875	3.54	2832	False	0.0	2832	3.54	2832	79	4.501	-0.0007
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1043_ch_1258_strand.fast5	b400377a-cb05-46a3-861e-6f38608ff1fa	f92717327e20661b488f6bebe7463e7dfa7490be	1258	1727.0	1.1355	908	True	0.0	908	1.1355	908	683	12.853	-0.0023
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1213_ch_2652_strand.fast5	da001ff7-bbde-4a31-9756-5f28a32a60fe	f92717327e20661b488f6bebe7463e7dfa7490be	2652	1717.89575	1.085	852	True	0.019	852	1.066	852	675	12.355	-0.002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1255_ch_949_strand.fast5	eae8a894-c234-4686-84b8-c7a9562c8ce3	f92717327e20661b488f6bebe7463e7dfa7490be	949	1760.5365	2.38	1824	True	0.09925	1824	2.28075	1824	1408	10.592	-0.0011
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1802_ch_1101_strand.fast5	ec22e147-8d3e-458f-9661-e4ebd3d789cb	f92717327e20661b488f6bebe7463e7dfa7490be	1101	1707.745	7.38675	5909	False	0.0	5909	7.38675	5909	69	4.998	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_871_ch_2534_strand.fast5	f07710c8-4cf1-4829-8e99-78be6fff0bfd	f92717327e20661b488f6bebe7463e7dfa7490be	2534	1735.6265	2.40875	1828	True	0.123	1828	2.28575	1828	1403	12.145	-0.0009
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1574_ch_2425_strand.fast5	f8caaf38-502f-428d-9596-be4a1a7080d5	f92717327e20661b488f6bebe7463e7dfa7490be	2425	1713.7695	2.03075	1605	True	0.0235	1605	2.00725	1605	1092	10.382	-0.0006
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_919_ch_1424_strand.fast5	009db37a-0262-4a38-9093-03bbbf37886a	f92717327e20661b488f6bebe7463e7dfa7490be	1424	1720.436	3.0655	2403	True	0.061	2403	3.0045	2403	1886	10.207	-0.0008
