filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_984_ch_657_strand.fast5	f96bdcce-71f7-45e2-bcab-2ba3e3e75870	f92717327e20661b488f6bebe7463e7dfa7490be	657	1725.921	26.2605	20982	True	0.033	20982	26.2275	20982	15411	13.252	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1063_ch_1942_strand.fast5	0203e9cd-12d7-4cd6-a8ee-b7473b453d7a	f92717327e20661b488f6bebe7463e7dfa7490be	1942	1704.6795	20.44975	16266	True	0.11725	16266	20.3325	16266	11654	11.824	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1083_ch_1024_strand.fast5	03ce33fb-3e57-42eb-bfcd-bc8409538e54	f92717327e20661b488f6bebe7463e7dfa7490be	1024	1750.306	5.256	4153	True	0.06425	4153	5.19175	4153	3089	10.788	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1063_ch_664_strand.fast5	254514ab-a548-42c1-8061-638643222dc1	f92717327e20661b488f6bebe7463e7dfa7490be	664	1695.9455	15.82125	12657	False	0.0	12657	15.82125	12657	297	3.976	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_843_ch_666_strand.fast5	2a601dac-1b1c-4515-aed6-2d0e80385321	f92717327e20661b488f6bebe7463e7dfa7490be	666	1756.22425	2.62975	2069	True	0.04275	2069	2.587	2069	1622	10.161	-0.0012
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1397_ch_2353_strand.fast5	2f423a78-5312-4996-85ae-7b32f7cd5c7a	f92717327e20661b488f6bebe7463e7dfa7490be	2353	1691.595	4.65625	3637	True	0.10925	3637	4.547	3637	2627	10.056	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_725_ch_136_strand.fast5	36c28d40-d880-4f4b-994e-a9bb9d3f69f0	f92717327e20661b488f6bebe7463e7dfa7490be	136	1713.05875	3.30375	2555	True	0.11	2555	3.19375	2555	1875	13.781	-0.0007
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_976_ch_2313_strand.fast5	3762db98-c483-4167-ac7d-25d3bd11d93a	f92717327e20661b488f6bebe7463e7dfa7490be	2313	1737.7425	29.137	23260	True	0.061	23260	29.076	23260	17164	10.086	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1507_ch_325_strand.fast5	432b9020-fae0-47bc-a8ad-775c84dce914	f92717327e20661b488f6bebe7463e7dfa7490be	325	1743.1855	2.055	1543	True	0.12525	1543	1.92975	1543	1135	9.556	-0.0005
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1023_ch_906_strand.fast5	44653103-5f83-4bff-8757-6be7baabacca	f92717327e20661b488f6bebe7463e7dfa7490be	906	1766.29325	1.8895	1485	True	0.03225	1485	1.85725	1485	1172	10.956	-0.0013
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1853_ch_703_strand.fast5	49c78b6a-2a9c-4f79-89d6-917555088848	f92717327e20661b488f6bebe7463e7dfa7490be	703	1716.816	15.83975	12599	False	0.09	12599	15.74975	12599	102	4.139	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_700_ch_1799_strand.fast5	5a9531fc-25fd-4dbd-9345-f227897710e8	f92717327e20661b488f6bebe7463e7dfa7490be	1799	1710.137	5.48475	4350	True	0.04675	4350	5.438	4350	3179	9.879	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_2759_ch_2587_strand.fast5	6221051f-c0c5-40ed-9955-f40b90268e68	f92717327e20661b488f6bebe7463e7dfa7490be	2587	1739.52025	3.83675	3069	True	0.0	3069	3.83675	3069	2207	11.113	-0.0008
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_612_ch_1469_strand.fast5	64d99482-5a61-4499-b422-bfccb5d0b926	f92717327e20661b488f6bebe7463e7dfa7490be	1469	1709.03075	10.65325	8522	False	0.0	8522	10.65325	8522	137	3.865	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_973_ch_2447_strand.fast5	6bc237f2-5411-4a4a-8cee-8916d1821e0c	f92717327e20661b488f6bebe7463e7dfa7490be	2447	1737.36625	2.68475	2054	True	0.11625	2054	2.5685	2054	1495	13.192	-0.0006
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_34969_ch_1615_strand.fast5	6c5755b9-34f5-4f52-a89f-b9d8ff070d06	f92717327e20661b488f6bebe7463e7dfa7490be	1615	1705.86575	1.26425	999	True	0.01475	999	1.2495	999	748	12.23	-0.0007
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1251_ch_1455_strand.fast5	7ab02e45-3a3f-441b-aa58-ae1d3bd833b9	f92717327e20661b488f6bebe7463e7dfa7490be	1455	1752.21225	1.501	1044	True	0.196	1044	1.305	1044	730	10.025	-0.0015
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_664_ch_2594_strand.fast5	7fd1c38c-3fb1-49dd-a9e7-f581f5e22394	f92717327e20661b488f6bebe7463e7dfa7490be	2594	1667.34675	31.3205	25040	True	0.02025	25040	31.30025	25040	18213	12.972	-0.0001
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_842_ch_1797_strand.fast5	8c3926ec-9cd5-438e-bb48-c5706cbc8be3	f92717327e20661b488f6bebe7463e7dfa7490be	1797	1741.9495	1.203	900	True	0.07725	900	1.12575	900	734	12.356	-0.0012
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_841_ch_510_strand.fast5	995c171b-ecaf-4cb4-93fe-d97b41159d29	f92717327e20661b488f6bebe7463e7dfa7490be	510	1747.9565	5.0695	4019	True	0.04575	4019	5.02375	4019	2980	10.303	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_621_ch_580_strand.fast5	a5e38fd4-6f6d-4c69-9c4e-8e30c16569d8	f92717327e20661b488f6bebe7463e7dfa7490be	580	1697.78325	2.7665	2181	True	0.04	2181	2.7265	2181	1344	9.929	-0.0007
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1287_ch_463_strand.fast5	a97c967b-98f6-492f-aa42-6f2e880134e2	f92717327e20661b488f6bebe7463e7dfa7490be	463	1721.98225	2.549	2021	True	0.0225	2021	2.5265	2021	1471	10.14	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1293_ch_2469_strand.fast5	ae150585-64e6-41a5-b481-37224cefbb4b	f92717327e20661b488f6bebe7463e7dfa7490be	2469	1741.057	1.818	1353	True	0.12625	1353	1.69175	1353	1062	9.34	-0.0018
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_709_ch_1326_strand.fast5	bf46bcf2-8a6e-4504-bd1d-9d656038b3bd	f92717327e20661b488f6bebe7463e7dfa7490be	1326	1759.05825	10.13325	8090	True	0.01975	8090	10.1135	8090	6001	13.453	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_844_ch_327_strand.fast5	ced6d809-51a4-40bc-88cd-a5175e70029c	f92717327e20661b488f6bebe7463e7dfa7490be	327	1739.5235	2.49875	1999	True	0.0	1999	2.49875	1999	1236	10.662	-0.001
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1094_ch_2410_strand.fast5	cfdafe51-fc27-422b-88d8-040052d7cf34	f92717327e20661b488f6bebe7463e7dfa7490be	2410	1685.59425	8.01275	6410	False	0.0	6410	8.01275	6410	261	4.161	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_971_ch_1314_strand.fast5	ea6fe8a9-cd30-4517-ac30-96ba58124e16	f92717327e20661b488f6bebe7463e7dfa7490be	1314	1770.86775	2.5175	1987	True	0.03325	1987	2.48425	1987	1392	10.117	-0.0009
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_2243_ch_1516_strand.fast5	14e59354-cd79-4983-8332-644f3305eded	f92717327e20661b488f6bebe7463e7dfa7490be	1516	1706.465	2.2245	1779	True	0.0	1779	2.2245	1779	1274	10.208	-0.0009
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1179_ch_1091_strand.fast5	1d27681d-c477-4e69-8f8b-b65bbfb87b78	f92717327e20661b488f6bebe7463e7dfa7490be	1091	1746.8545	2.47325	1902	True	0.095	1902	2.37825	1902	1404	9.511	-0.0007
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_2470_ch_2429_strand.fast5	29d7c733-c3a7-4826-8227-28837b4cfcdc	f92717327e20661b488f6bebe7463e7dfa7490be	2429	1717.25175	15.451	12319	True	0.05175	12319	15.39925	12319	3963	12.111	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1005_ch_665_strand.fast5	29ecc593-6032-4e5b-a059-6addf5c3af72	f92717327e20661b488f6bebe7463e7dfa7490be	665	1731.21375	1.40225	1026	True	0.11875	1026	1.2835	1026	733	11.966	-0.0013
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1101_ch_1520_strand.fast5	2fdc9075-52e1-4318-b412-e74f6edb97e9	f92717327e20661b488f6bebe7463e7dfa7490be	1520	1752.8135	19.343	15228	False	0.307	15228	19.036	15228	1483	4.731	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_856_ch_2302_strand.fast5	31a16b6a-9510-4c93-b78f-2e23c099c777	f92717327e20661b488f6bebe7463e7dfa7490be	2302	1760.30175	3.51525	2764	True	0.0595	2764	3.45575	2764	1802	13.077	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1177_ch_1451_strand.fast5	35ad8d87-dd4e-4511-8245-86390c9db386	f92717327e20661b488f6bebe7463e7dfa7490be	1451	1733.2315	2.76025	2120	True	0.10925	2120	2.651	2120	1642	11.006	-0.0007
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_773_ch_773_strand.fast5	4cde81f4-d5dd-4b5b-aedc-7a3994426a33	f92717327e20661b488f6bebe7463e7dfa7490be	773	1723.3665	4.8715	3884	True	0.01575	3884	4.85575	3884	3173	11.513	-0.0005
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_898_ch_1570_strand.fast5	4d4dc06d-f19f-4682-9228-8aebb13250e7	f92717327e20661b488f6bebe7463e7dfa7490be	1570	1728.02175	1.0055	769	True	0.04425	769	0.96125	769	570	9.984	-0.0028
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_854_ch_1766_strand.fast5	6c37bcdd-7293-456e-a3a3-8ec68176cd30	f92717327e20661b488f6bebe7463e7dfa7490be	1766	1692.282	1.4805	1110	True	0.0925	1110	1.388	1110	805	12.491	-0.0008
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_873_ch_2179_strand.fast5	cb1fbea0-8e67-4983-b33c-2c0924bf0b1f	f92717327e20661b488f6bebe7463e7dfa7490be	2179	1706.28425	1.99375	1538	True	0.0705	1538	1.92325	1538	1158	10.475	-0.0011
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1548_ch_1920_strand.fast5	cc23f18c-b62e-4ba8-80bf-eb309e90bef7	f92717327e20661b488f6bebe7463e7dfa7490be	1920	1740.3955	1.48875	1125	True	0.08225	1125	1.4065	1125	861	12.928	-0.0016
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1191_ch_1966_strand.fast5	d18005dc-ee02-47a4-9a5f-caad9e947e8f	f92717327e20661b488f6bebe7463e7dfa7490be	1966	1736.0445	21.71375	17371	True	0.0	17371	21.71375	17371	13433	11.934	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1473_ch_2436_strand.fast5	dd047629-f5b2-41a0-a306-6404ce5d327f	f92717327e20661b488f6bebe7463e7dfa7490be	2436	1702.17425	1.947	1557	True	0.0	1557	1.947	1557	1052	12.32	-0.0006
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_5471_ch_2537_strand.fast5	eedac2e8-92bb-4640-abec-6ca160e97377	f92717327e20661b488f6bebe7463e7dfa7490be	2537	1700.46475	3.336	2528	True	0.175	2528	3.161	2528	1809	10.31	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_875_ch_2712_strand.fast5	effc2118-f3e5-4e33-a84c-c622455bb003	f92717327e20661b488f6bebe7463e7dfa7490be	2712	1690.7485	52.39875	41919	True	0.0	41919	52.39875	41919	23041	9.796	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1008_ch_2161_strand.fast5	f426ff00-6cd4-4324-90f7-9b82ad095800	f92717327e20661b488f6bebe7463e7dfa7490be	2161	1721.807	1.97975	1537	True	0.0575	1537	1.92225	1537	1124	11.5	-0.0009
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1248_ch_1652_strand.fast5	0e5e8618-cf45-44cd-a4cb-0b91ed22af29	f92717327e20661b488f6bebe7463e7dfa7490be	1652	1709.8045	24.81775	19748	True	0.1325	19748	24.68525	19748	14767	13.753	-0.0001
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_949_ch_330_strand.fast5	13f11e56-495f-43f3-9986-1e8aa68b699d	f92717327e20661b488f6bebe7463e7dfa7490be	330	1700.20325	2.837	2211	True	0.07225	2211	2.76475	2211	1688	10.869	-0.0009
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_711_ch_1522_strand.fast5	2641ad8d-b7cb-4163-b042-a4d0461cf06c	f92717327e20661b488f6bebe7463e7dfa7490be	1522	1745.50025	8.1045	6483	False	0.0	6483	8.1045	6483	84	5.078	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1238_ch_2309_strand.fast5	325f1d81-e7d8-4beb-a42a-6ed9b145d6d3	f92717327e20661b488f6bebe7463e7dfa7490be	2309	1767.73525	3.033	2426	True	0.0	2426	3.033	2426	1721	8.566	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1573_ch_2390_strand.fast5	32601d23-854c-4c23-af1e-af3147300627	f92717327e20661b488f6bebe7463e7dfa7490be	2390	1765.593	1.17925	880	True	0.07825	880	1.101	880	649	12.249	-0.002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_931_ch_1780_strand.fast5	3cf7e85a-0b63-4125-b371-89ba26063192	f92717327e20661b488f6bebe7463e7dfa7490be	1780	1747.5955	8.6425	6844	False	0.08675	6844	8.55575	6844	17	3.415	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_952_ch_328_strand.fast5	3f762d0c-1baf-4aec-909c-51002adb5993	f92717327e20661b488f6bebe7463e7dfa7490be	328	1710.7375	5.895	4662	True	0.067	4662	5.828	4662	1659	8.747	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_896_ch_1570_strand.fast5	66a67648-fbf5-4d61-8d6b-26fb2ee88f98	f92717327e20661b488f6bebe7463e7dfa7490be	1570	1696.51675	30.37325	24205	True	0.11675	24205	30.2565	24205	17053	12.882	-0.0001
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1061_ch_1844_strand.fast5	7f75991f-0c45-428a-add0-c4a138c5493e	f92717327e20661b488f6bebe7463e7dfa7490be	1844	1731.13425	4.35625	3447	True	0.04675	3447	4.3095	3447	2407	12.864	-0.0006
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1681_ch_1898_strand.fast5	80246d6e-d27b-4030-888c-1b775e9ecdf3	f92717327e20661b488f6bebe7463e7dfa7490be	1898	1767.14375	5.8995	4665	True	0.06725	4665	5.83225	4665	3438	10.818	-0.0005
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1032_ch_785_strand.fast5	865b7123-4ea4-4c0b-be43-e43a399aab6c	f92717327e20661b488f6bebe7463e7dfa7490be	785	1761.42	1.75625	1405	True	0.0	1405	1.75625	1405	825	7.43	-0.0006
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1441_ch_545_strand.fast5	86d02523-0c02-43c1-8a13-73a7c9d75c9b	f92717327e20661b488f6bebe7463e7dfa7490be	545	1752.92425	8.82425	7059	True	0.0	7059	8.82425	7059	5209	12.571	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_781_ch_1805_strand.fast5	981e7ae6-0303-4399-b0c3-e98a61e9504a	f92717327e20661b488f6bebe7463e7dfa7490be	1805	1741.243	1.20625	819	True	0.1825	819	1.02375	819	612	10.034	-0.002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1420_ch_2873_strand.fast5	9f4fffa9-92fc-44f9-ba2e-aef40205f4f1	f92717327e20661b488f6bebe7463e7dfa7490be	2873	1656.88625	49.8815	39876	False	0.0365	39876	49.845	39876	16986	6.974	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_807_ch_2218_strand.fast5	a517ffc7-b6c3-4b9b-803d-9100c8b50708	f92717327e20661b488f6bebe7463e7dfa7490be	2218	1699.673	1.1605	866	True	0.0775	866	1.083	866	606	9.653	-0.0009
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_805_ch_2218_strand.fast5	ae13ee3b-d63f-425c-8c4e-042cb93888f7	f92717327e20661b488f6bebe7463e7dfa7490be	2218	1695.52125	3.35625	2508	True	0.221	2508	3.13525	2508	1750	10.311	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1055_ch_1013_strand.fast5	b6e03b79-751d-47c4-a0c7-3fc2ce6699f7	f92717327e20661b488f6bebe7463e7dfa7490be	1013	1693.608	18.23975	14506	True	0.10675	14506	18.133	14506	10198	12.977	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_2481_ch_2405_strand.fast5	bf99891e-a971-4d4d-9e40-82a0c374d6f1	f92717327e20661b488f6bebe7463e7dfa7490be	2405	1755.15125	1.1065	843	True	0.0525	843	1.054	843	597	9.774	-0.0017
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1074_ch_805_strand.fast5	c51a1e58-8e87-4453-9431-3a5d8d49ef8c	f92717327e20661b488f6bebe7463e7dfa7490be	805	1724.62	8.039	6431	False	0.0	6431	8.039	6431	10	3.083	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_24782_ch_864_strand.fast5	cb3fe563-cec8-4c90-af31-8c854380eb62	f92717327e20661b488f6bebe7463e7dfa7490be	864	1726.1045	6.46625	5084	True	0.111	5084	6.35525	5084	3595	9.354	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1352_ch_2157_strand.fast5	cffa7b89-b39c-4861-ad9f-5ce7db6180ad	f92717327e20661b488f6bebe7463e7dfa7490be	2157	1681.41175	18.63025	14904	True	0.0	14904	18.63025	14904	10655	13.325	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_15275_ch_2962_strand.fast5	ddec2922-8d6b-47d6-b87a-a753091ac3dc	f92717327e20661b488f6bebe7463e7dfa7490be	2962	1669.212	31.9775	25555	True	0.0335	25555	31.944	25555	17596	13.341	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_785_ch_1484_strand.fast5	e2307949-9a96-4867-b087-f3e2f89322c4	f92717327e20661b488f6bebe7463e7dfa7490be	1484	1711.60125	57.59875	46079	False	0.0	46079	57.59875	46079	1534	4.706	-0.0002
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_793_ch_1646_strand.fast5	fbc0777f-439b-4309-b2eb-c18528a5ed62	f92717327e20661b488f6bebe7463e7dfa7490be	1646	1689.26975	4.701	3702	True	0.073	3702	4.628	3702	3004	12.312	-0.0005
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1144_ch_731_strand.fast5	02f8ce4c-0012-48bb-a1ee-76cb360b2d1e	f92717327e20661b488f6bebe7463e7dfa7490be	731	1746.8755	2.38	1887	True	0.021	1887	2.359	1887	1414	11.831	-0.0017
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_3425_ch_1107_strand.fast5	09950971-9d47-4396-8688-155c0ab99d93	f92717327e20661b488f6bebe7463e7dfa7490be	1107	1719.469	32.52675	26002	True	0.02375	26002	32.503	26002	19591	12.801	-0.0001
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_18531_ch_1435_strand.fast5	1390a098-0ea2-4e43-b525-7bd39dbb806b	f92717327e20661b488f6bebe7463e7dfa7490be	1435	1747.05175	1.0555	789	True	0.0685	789	0.987	789	646	11.931	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1054_ch_1955_strand.fast5	14a968e7-95e4-4802-b5a8-a1492f4a849a	f92717327e20661b488f6bebe7463e7dfa7490be	1955	1721.1855	1.97575	1475	True	0.13175	1475	1.844	1475	1062	10.499	-0.0016
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_813_ch_2292_strand.fast5	25aa189c-abfb-4148-a07d-070810daef32	f92717327e20661b488f6bebe7463e7dfa7490be	2292	1695.00975	3.96125	3110	True	0.07375	3110	3.8875	3110	2275	9.063	-0.0005
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1165_ch_1155_strand.fast5	2c51cbcc-e7d1-440f-823a-3628a08eeeab	f92717327e20661b488f6bebe7463e7dfa7490be	1155	1701.3265	2.845	2253	True	0.02875	2253	2.81625	2253	1652	11.474	-0.0008
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1759_ch_1774_strand.fast5	36add14d-8817-4b1c-ba2d-f2cc4ef12a09	f92717327e20661b488f6bebe7463e7dfa7490be	1774	1732.45625	13.27225	10510	False	0.134	10510	13.13825	10510	307	4.142	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1070_ch_2036_strand.fast5	3917f61e-bbe5-4082-aa9c-bc51e1f04cf0	f92717327e20661b488f6bebe7463e7dfa7490be	2036	1685.20925	18.34975	14679	True	0.0	14679	18.34975	14679	11026	12.765	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_847_ch_2292_strand.fast5	41b1e315-bdbd-40e1-bc9e-d9d42a0f360f	f92717327e20661b488f6bebe7463e7dfa7490be	2292	1771.01225	1.0245	819	True	0.0	819	1.0245	819	629	8.31	-0.0011
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1284_ch_1349_strand.fast5	481350d6-c4ff-4e71-acb7-58b05c2d5a33	f92717327e20661b488f6bebe7463e7dfa7490be	1349	1755.50975	1.93575	1548	True	0.0	1548	1.93575	1548	1186	9.688	-0.001
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1680_ch_1863_strand.fast5	484b251a-5db9-479a-bc7d-53dbfaf8e358	f92717327e20661b488f6bebe7463e7dfa7490be	1863	1730.762	3.7745	3005	True	0.01775	3005	3.75675	3005	2297	10.205	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_854_ch_1053_strand.fast5	4f8009ac-a186-44a1-96a1-09cacbbd8e4f	f92717327e20661b488f6bebe7463e7dfa7490be	1053	1707.376	1.54925	1204	True	0.04325	1204	1.506	1204	926	11.287	-0.0014
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_454_ch_2833_strand.fast5	61c7acc5-3253-4644-9f2f-0e92bca14f74	f92717327e20661b488f6bebe7463e7dfa7490be	2833	1720.87625	2.7825	2226	True	0.0	2226	2.7825	2226	1604	11.894	-0.0007
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1045_ch_272_strand.fast5	68dbec58-1ff7-4f3f-8ebb-da4615595a47	f92717327e20661b488f6bebe7463e7dfa7490be	272	1707.27875	1.6715	1275	True	0.07775	1275	1.59375	1275	984	12.669	-0.0013
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_792_ch_1915_strand.fast5	6ecabb0a-49f4-4c6d-bed4-0d7fb0ce53c4	f92717327e20661b488f6bebe7463e7dfa7490be	1915	1695.369	1.0355	773	True	0.06925	773	0.96625	773	594	12.153	-0.0026
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1667_ch_1898_strand.fast5	6edba53a-f48b-4920-86ef-7a3af769f2ef	f92717327e20661b488f6bebe7463e7dfa7490be	1898	1701.716	27.43075	21920	True	0.0305	21920	27.40025	21920	16473	10.25	-0.0001
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_945_ch_644_strand.fast5	6f8aa65e-c532-4a32-bd07-3f8095ecf9c9	f92717327e20661b488f6bebe7463e7dfa7490be	644	1722.01925	2.8115	2249	False	0.0	2249	2.8115	2249	11	2.922	-0.0013
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1042_ch_473_strand.fast5	72b688f4-677c-4d63-b9b1-65aea2fcb597	f92717327e20661b488f6bebe7463e7dfa7490be	473	1746.0775	9.435	7511	True	0.04625	7511	9.38875	7511	5358	12.814	-0.0001
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_897_ch_909_strand.fast5	74399eb5-cfe4-407d-9d43-c1a9cb1979de	f92717327e20661b488f6bebe7463e7dfa7490be	909	1745.5485	1.81625	1248	True	0.25525	1248	1.561	1248	950	11.979	-0.0008
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1989_ch_2543_strand.fast5	78b2ba4d-5925-49f6-8e78-afcd0c65433a	f92717327e20661b488f6bebe7463e7dfa7490be	2543	1761.15825	5.3105	4248	False	0.0	4248	5.3105	4248	132	4.683	-0.0005
